,Accident Date,Injury.Severity,Number.of.Engines
0,1948-10-24,Fatal(2),1.0
1,1962-07-19,Fatal(4),1.0
2,1974-08-30,Fatal(3),1.0
3,1977-06-19,Fatal(2),1.0
5,1979-09-17,Non-Fatal,2.0
6,1981-08-01,Fatal(4),1.0
7,1982-01-01,Non-Fatal,1.0
8,1982-01-01,Non-Fatal,2.0
9,1982-01-01,Non-Fatal,1.0
10,1982-01-01,Non-Fatal,1.0
11,1982-01-01,Non-Fatal,1.0
12,1982-01-02,Non-Fatal,1.0
13,1982-01-02,Fatal(1),1.0
14,1982-01-02,Fatal(1),1.0
15,1982-01-02,Fatal(2),1.0
16,1982-01-02,Non-Fatal,1.0
17,1982-01-02,Fatal(3),1.0
18,1982-01-02,Non-Fatal,1.0
19,1982-01-02,Non-Fatal,1.0
20,1982-01-02,Non-Fatal,1.0
21,1982-01-02,Non-Fatal,1.0
22,1982-01-02,Non-Fatal,1.0
23,1982-01-03,Incident,1.0
24,1982-01-03,Fatal(2),1.0
25,1982-01-03,Fatal(8),2.0
26,1982-01-03,Fatal(1),2.0
27,1982-01-03,Non-Fatal,1.0
28,1982-01-03,Non-Fatal,1.0
29,1982-01-03,Non-Fatal,1.0
30,1982-01-03,Non-Fatal,1.0
31,1982-01-03,Non-Fatal,1.0
32,1982-01-04,Fatal(4),1.0
33,1982-01-04,Fatal(2),2.0
34,1982-01-04,Fatal(2),2.0
35,1982-01-04,Non-Fatal,1.0
36,1982-01-04,Fatal(1),1.0
37,1982-01-05,Fatal(3),1.0
38,1982-01-05,Fatal(1),1.0
39,1982-01-05,Fatal(2),2.0
40,1982-01-05,Incident,1.0
41,1982-01-05,Non-Fatal,1.0
42,1982-01-05,Non-Fatal,1.0
43,1982-01-05,Non-Fatal,1.0
44,1982-01-05,Non-Fatal,1.0
45,1982-01-06,Non-Fatal,2.0
46,1982-01-06,Non-Fatal,1.0
47,1982-01-06,Non-Fatal,1.0
48,1982-01-06,Non-Fatal,1.0
49,1982-01-06,Non-Fatal,1.0
50,1982-01-06,Non-Fatal,1.0
51,1982-01-07,Fatal(2),1.0
52,1982-01-07,Non-Fatal,1.0
53,1982-01-07,Non-Fatal,2.0
54,1982-01-08,Fatal(1),1.0
55,1982-01-08,Fatal(1),1.0
56,1982-01-08,Non-Fatal,1.0
57,1982-01-08,Non-Fatal,1.0
58,1982-01-08,Non-Fatal,1.0
59,1982-01-08,Non-Fatal,1.0
60,1982-01-08,Non-Fatal,1.0
61,1982-01-08,Non-Fatal,1.0
62,1982-01-09,Non-Fatal,0.0
63,1982-01-09,Non-Fatal,1.0
64,1982-01-09,Non-Fatal,1.0
65,1982-01-09,Non-Fatal,2.0
66,1982-01-09,Non-Fatal,1.0
67,1982-01-09,Non-Fatal,1.0
68,1982-01-10,Non-Fatal,2.0
69,1982-01-10,Non-Fatal,1.0
70,1982-01-10,Non-Fatal,2.0
71,1982-01-10,Fatal(1),1.0
72,1982-01-10,Non-Fatal,1.0
73,1982-01-10,Non-Fatal,1.0
74,1982-01-10,Non-Fatal,1.0
75,1982-01-11,Non-Fatal,1.0
76,1982-01-11,Fatal(4),1.0
77,1982-01-11,Non-Fatal,1.0
78,1982-01-11,Non-Fatal,2.0
79,1982-01-12,Incident,3.0
80,1982-01-12,Incident,2.0
81,1982-01-12,Non-Fatal,2.0
82,1982-01-12,Non-Fatal,1.0
83,1982-01-13,Non-Fatal,1.0
84,1982-01-13,Fatal(78),2.0
85,1982-01-13,Non-Fatal,1.0
86,1982-01-13,Non-Fatal,1.0
87,1982-01-13,Non-Fatal,2.0
88,1982-01-15,Fatal(3),1.0
89,1982-01-15,Non-Fatal,2.0
90,1982-01-15,Non-Fatal,1.0
91,1982-01-15,Non-Fatal,1.0
92,1982-01-15,Non-Fatal,1.0
93,1982-01-15,Non-Fatal,2.0
94,1982-01-15,Non-Fatal,2.0
95,1982-01-15,Non-Fatal,1.0
96,1982-01-16,Fatal(1),1.0
97,1982-01-16,Non-Fatal,1.0
98,1982-01-17,Fatal(1),1.0
99,1982-01-17,Fatal(1),1.0
100,1982-01-17,Non-Fatal,1.0
101,1982-01-17,Non-Fatal,2.0
102,1982-01-17,Fatal(1),2.0
103,1982-01-17,Non-Fatal,2.0
104,1982-01-17,Fatal(2),2.0
105,1982-01-17,Non-Fatal,1.0
106,1982-01-17,Non-Fatal,1.0
107,1982-01-17,Non-Fatal,1.0
108,1982-01-17,Non-Fatal,1.0
109,1982-01-18,Non-Fatal,1.0
110,1982-01-18,Fatal(1),1.0
111,1982-01-18,Fatal(3),1.0
112,1982-01-18,Non-Fatal,1.0
113,1982-01-18,Fatal(4),1.0
114,1982-01-19,Fatal(1),1.0
115,1982-01-19,Fatal(2),1.0
116,1982-01-19,Fatal(1),1.0
117,1982-01-19,Fatal(3),1.0
118,1982-01-19,Fatal(3),2.0
119,1982-01-19,Incident,2.0
120,1982-01-19,Non-Fatal,2.0
121,1982-01-19,Non-Fatal,1.0
122,1982-01-19,Non-Fatal,1.0
123,1982-01-19,Non-Fatal,1.0
124,1982-01-19,Non-Fatal,1.0
125,1982-01-19,Non-Fatal,1.0
126,1982-01-19,Non-Fatal,1.0
127,1982-01-19,Non-Fatal,2.0
128,1982-01-19,Non-Fatal,1.0
129,1982-01-19,Non-Fatal,4.0
130,1982-01-19,Non-Fatal,1.0
131,1982-01-20,Incident,2.0
132,1982-01-20,Fatal(2),2.0
133,1982-01-20,Fatal(3),1.0
134,1982-01-20,Fatal(1),2.0
135,1982-01-20,Fatal(1),1.0
136,1982-01-20,Non-Fatal,1.0
137,1982-01-20,Non-Fatal,1.0
138,1982-01-21,Fatal(4),1.0
139,1982-01-21,Fatal(1),2.0
140,1982-01-21,Non-Fatal,2.0
141,1982-01-21,Non-Fatal,2.0
142,1982-01-21,Fatal(1),1.0
143,1982-01-21,Fatal(1),1.0
144,1982-01-21,Non-Fatal,1.0
145,1982-01-21,Non-Fatal,1.0
146,1982-01-21,Non-Fatal,1.0
147,1982-01-21,Non-Fatal,1.0
148,1982-01-22,Fatal(2),1.0
149,1982-01-22,Incident,2.0
150,1982-01-22,Non-Fatal,1.0
151,1982-01-22,Non-Fatal,1.0
152,1982-01-23,Fatal(1),1.0
153,1982-01-23,Fatal(2),1.0
154,1982-01-23,Non-Fatal,1.0
155,1982-01-23,Fatal(2),3.0
156,1982-01-23,Fatal(1),1.0
157,1982-01-23,Non-Fatal,1.0
158,1982-01-23,Non-Fatal,1.0
159,1982-01-23,Non-Fatal,2.0
160,1982-01-23,Fatal(2),1.0
161,1982-01-23,Non-Fatal,1.0
162,1982-01-23,Non-Fatal,1.0
163,1982-01-23,Non-Fatal,1.0
164,1982-01-23,Non-Fatal,1.0
165,1982-01-24,Fatal(7),2.0
166,1982-01-24,Non-Fatal,1.0
167,1982-01-24,Non-Fatal,1.0
168,1982-01-24,Non-Fatal,1.0
169,1982-01-24,Non-Fatal,1.0
170,1982-01-25,Fatal(2),1.0
171,1982-01-25,Non-Fatal,1.0
172,1982-01-26,Non-Fatal,1.0
173,1982-01-26,Non-Fatal,1.0
174,1982-01-26,Non-Fatal,1.0
175,1982-01-26,Non-Fatal,1.0
176,1982-01-26,Non-Fatal,1.0
177,1982-01-26,Non-Fatal,1.0
178,1982-01-27,Fatal(1),1.0
179,1982-01-27,Non-Fatal,1.0
180,1982-01-27,Non-Fatal,1.0
181,1982-01-27,Non-Fatal,1.0
182,1982-01-27,Non-Fatal,1.0
183,1982-01-27,Non-Fatal,1.0
184,1982-01-28,Fatal(1),1.0
185,1982-01-28,Non-Fatal,2.0
186,1982-01-28,Non-Fatal,1.0
187,1982-01-28,Non-Fatal,1.0
188,1982-01-28,Non-Fatal,1.0
189,1982-01-28,Non-Fatal,1.0
190,1982-01-29,Fatal(1),1.0
191,1982-01-29,Incident,2.0
192,1982-01-29,Fatal(1),1.0
193,1982-01-29,Non-Fatal,1.0
194,1982-01-30,Incident,1.0
195,1982-01-30,Non-Fatal,1.0
196,1982-01-30,Fatal(1),1.0
197,1982-01-30,Non-Fatal,1.0
198,1982-01-30,Non-Fatal,1.0
199,1982-01-30,Non-Fatal,1.0
200,1982-01-30,Non-Fatal,1.0
201,1982-01-30,Non-Fatal,1.0
202,1982-01-30,Non-Fatal,1.0
203,1982-01-30,Non-Fatal,1.0
204,1982-01-30,Non-Fatal,1.0
205,1982-01-31,Non-Fatal,1.0
206,1982-01-31,Non-Fatal,1.0
207,1982-01-31,Non-Fatal,1.0
208,1982-01-31,Non-Fatal,1.0
209,1982-01-31,Non-Fatal,1.0
210,1982-01-31,Non-Fatal,1.0
211,1982-01-31,Non-Fatal,1.0
212,1982-01-31,Non-Fatal,1.0
213,1982-01-31,Non-Fatal,1.0
214,1982-02-01,Non-Fatal,2.0
215,1982-02-01,Non-Fatal,1.0
216,1982-02-01,Non-Fatal,1.0
217,1982-02-01,Fatal(2),1.0
218,1982-02-01,Non-Fatal,1.0
219,1982-02-01,Non-Fatal,1.0
220,1982-02-01,Non-Fatal,1.0
221,1982-02-01,Non-Fatal,2.0
222,1982-02-01,Non-Fatal,1.0
223,1982-02-02,Fatal(1),2.0
224,1982-02-02,Fatal(2),1.0
225,1982-02-02,Non-Fatal,1.0
226,1982-02-02,Non-Fatal,1.0
227,1982-02-02,Non-Fatal,1.0
228,1982-02-03,Fatal(1),1.0
229,1982-02-03,Non-Fatal,2.0
230,1982-02-03,Non-Fatal,3.0
231,1982-02-03,Non-Fatal,1.0
232,1982-02-03,Non-Fatal,1.0
233,1982-02-03,Non-Fatal,1.0
234,1982-02-03,Non-Fatal,2.0
235,1982-02-04,Fatal(2),1.0
236,1982-02-04,Non-Fatal,1.0
237,1982-02-04,Non-Fatal,1.0
238,1982-02-05,Fatal(2),1.0
239,1982-02-05,Fatal(4),1.0
240,1982-02-05,Non-Fatal,1.0
241,1982-02-05,Non-Fatal,1.0
242,1982-02-06,Non-Fatal,1.0
243,1982-02-06,Non-Fatal,2.0
244,1982-02-06,Non-Fatal,1.0
245,1982-02-06,Non-Fatal,1.0
246,1982-02-06,Non-Fatal,1.0
247,1982-02-06,Non-Fatal,0.0
248,1982-02-06,Non-Fatal,1.0
249,1982-02-06,Non-Fatal,1.0
250,1982-02-06,Non-Fatal,1.0
251,1982-02-06,Non-Fatal,2.0
252,1982-02-06,Non-Fatal,1.0
253,1982-02-06,Non-Fatal,1.0
254,1982-02-07,Fatal(8),1.0
255,1982-02-07,Fatal(8),1.0
256,1982-02-07,Non-Fatal,1.0
257,1982-02-07,Fatal(4),1.0
258,1982-02-07,Non-Fatal,1.0
259,1982-02-07,Non-Fatal,1.0
260,1982-02-07,Non-Fatal,1.0
261,1982-02-07,Non-Fatal,1.0
262,1982-02-07,Non-Fatal,1.0
263,1982-02-07,Non-Fatal,1.0
264,1982-02-07,Non-Fatal,1.0
265,1982-02-07,Non-Fatal,1.0
266,1982-02-07,Non-Fatal,1.0
267,1982-02-07,Non-Fatal,1.0
268,1982-02-08,Fatal(1),1.0
269,1982-02-08,Non-Fatal,1.0
270,1982-02-08,Fatal(1),1.0
271,1982-02-08,Non-Fatal,1.0
272,1982-02-08,Non-Fatal,1.0
273,1982-02-08,Non-Fatal,1.0
274,1982-02-08,Non-Fatal,1.0
275,1982-02-08,Non-Fatal,1.0
276,1982-02-08,Non-Fatal,1.0
277,1982-02-09,Non-Fatal,1.0
278,1982-02-09,Fatal(1),1.0
279,1982-02-09,Incident,2.0
280,1982-02-09,Non-Fatal,2.0
281,1982-02-09,Non-Fatal,1.0
282,1982-02-09,Non-Fatal,2.0
283,1982-02-09,Non-Fatal,1.0
284,1982-02-10,Non-Fatal,2.0
285,1982-02-10,Fatal(2),2.0
286,1982-02-10,Non-Fatal,1.0
287,1982-02-10,Non-Fatal,2.0
288,1982-02-10,Non-Fatal,2.0
289,1982-02-10,Non-Fatal,1.0
290,1982-02-11,Fatal(2),2.0
291,1982-02-11,Non-Fatal,1.0
292,1982-02-11,Non-Fatal,1.0
293,1982-02-11,Fatal(1),2.0
294,1982-02-12,Incident,2.0
295,1982-02-12,Non-Fatal,1.0
296,1982-02-12,Non-Fatal,2.0
297,1982-02-12,Non-Fatal,1.0
298,1982-02-13,Fatal(4),1.0
299,1982-02-13,Fatal(1),2.0
300,1982-02-13,Fatal(2),1.0
301,1982-02-13,Fatal(4),1.0
302,1982-02-13,Non-Fatal,1.0
303,1982-02-13,Non-Fatal,1.0
304,1982-02-13,Non-Fatal,1.0
305,1982-02-13,Non-Fatal,1.0
306,1982-02-13,Non-Fatal,1.0
307,1982-02-13,Non-Fatal,1.0
308,1982-02-14,Fatal(1),1.0
309,1982-02-14,Fatal(1),1.0
310,1982-02-14,Non-Fatal,1.0
311,1982-02-14,Non-Fatal,1.0
312,1982-02-14,Non-Fatal,1.0
313,1982-02-14,Non-Fatal,1.0
314,1982-02-14,Non-Fatal,1.0
315,1982-02-14,Non-Fatal,1.0
316,1982-02-14,Non-Fatal,1.0
317,1982-02-14,Non-Fatal,1.0
318,1982-02-14,Fatal(2),1.0
319,1982-02-14,Non-Fatal,1.0
320,1982-02-15,Incident,2.0
321,1982-02-15,Non-Fatal,2.0
322,1982-02-15,Fatal(1),2.0
323,1982-02-15,Non-Fatal,1.0
324,1982-02-15,Non-Fatal,1.0
325,1982-02-15,Non-Fatal,1.0
326,1982-02-15,Non-Fatal,1.0
327,1982-02-15,Non-Fatal,1.0
328,1982-02-15,Non-Fatal,1.0
329,1982-02-15,Non-Fatal,1.0
330,1982-02-15,Non-Fatal,1.0
331,1982-02-15,Non-Fatal,1.0
332,1982-02-15,Non-Fatal,2.0
333,1982-02-15,Non-Fatal,1.0
334,1982-02-16,Fatal(8),2.0
335,1982-02-16,Non-Fatal,2.0
336,1982-02-16,Non-Fatal,2.0
337,1982-02-17,Non-Fatal,1.0
338,1982-02-17,Non-Fatal,1.0
339,1982-02-17,Non-Fatal,1.0
340,1982-02-17,Non-Fatal,1.0
341,1982-02-17,Non-Fatal,1.0
342,1982-02-17,Non-Fatal,1.0
343,1982-02-17,Non-Fatal,1.0
344,1982-02-17,Non-Fatal,3.0
345,1982-02-17,Non-Fatal,2.0
346,1982-02-18,Incident,2.0
347,1982-02-18,Fatal(1),1.0
348,1982-02-18,Fatal(1),1.0
349,1982-02-18,Non-Fatal,1.0
350,1982-02-18,Non-Fatal,1.0
351,1982-02-19,Incident,3.0
352,1982-02-19,Non-Fatal,2.0
353,1982-02-19,Non-Fatal,0.0
354,1982-02-19,Non-Fatal,1.0
355,1982-02-19,Non-Fatal,1.0
356,1982-02-19,Non-Fatal,1.0
357,1982-02-19,Non-Fatal,1.0
358,1982-02-19,Non-Fatal,2.0
359,1982-02-19,Non-Fatal,1.0
360,1982-02-19,Non-Fatal,1.0
361,1982-02-19,Non-Fatal,2.0
362,1982-02-20,Non-Fatal,1.0
363,1982-02-20,Fatal(1),1.0
364,1982-02-20,Fatal(2),1.0
365,1982-02-20,Fatal(1),1.0
366,1982-02-20,Non-Fatal,1.0
367,1982-02-20,Non-Fatal,1.0
368,1982-02-20,Non-Fatal,1.0
369,1982-02-20,Non-Fatal,1.0
370,1982-02-20,Non-Fatal,1.0
371,1982-02-20,Non-Fatal,2.0
372,1982-02-20,Non-Fatal,1.0
373,1982-02-20,Non-Fatal,2.0
374,1982-02-21,Non-Fatal,1.0
375,1982-02-21,Non-Fatal,1.0
376,1982-02-21,Fatal(1),1.0
377,1982-02-21,Fatal(1),2.0
378,1982-02-21,Non-Fatal,1.0
379,1982-02-21,Non-Fatal,1.0
380,1982-02-21,Non-Fatal,1.0
381,1982-02-21,Non-Fatal,1.0
382,1982-02-21,Non-Fatal,1.0
383,1982-02-21,Fatal(2),1.0
384,1982-02-21,Non-Fatal,1.0
385,1982-02-21,Non-Fatal,1.0
386,1982-02-21,Non-Fatal,2.0
387,1982-02-21,Non-Fatal,1.0
388,1982-02-22,Non-Fatal,1.0
389,1982-02-22,Fatal(2),1.0
390,1982-02-22,Non-Fatal,2.0
391,1982-02-22,Non-Fatal,1.0
392,1982-02-22,Non-Fatal,1.0
393,1982-02-22,Non-Fatal,1.0
394,1982-02-22,Non-Fatal,1.0
395,1982-02-22,Non-Fatal,1.0
396,1982-02-22,Non-Fatal,2.0
397,1982-02-23,Non-Fatal,1.0
398,1982-02-23,Fatal(1),1.0
399,1982-02-23,Non-Fatal,2.0
400,1982-02-23,Non-Fatal,1.0
401,1982-02-23,Non-Fatal,1.0
402,1982-02-23,Non-Fatal,1.0
403,1982-02-24,Non-Fatal,1.0
404,1982-02-24,Fatal(1),2.0
405,1982-02-24,Non-Fatal,1.0
406,1982-02-24,Non-Fatal,1.0
407,1982-02-24,Incident,2.0
408,1982-02-24,Non-Fatal,1.0
409,1982-02-24,Non-Fatal,2.0
410,1982-02-24,Non-Fatal,2.0
411,1982-02-24,Non-Fatal,1.0
412,1982-02-25,Fatal(4),1.0
413,1982-02-25,Non-Fatal,1.0
414,1982-02-25,Non-Fatal,2.0
415,1982-02-25,Non-Fatal,1.0
416,1982-02-25,Non-Fatal,2.0
417,1982-02-25,Non-Fatal,2.0
418,1982-02-26,Fatal(1),1.0
419,1982-02-26,Incident,2.0
420,1982-02-26,Non-Fatal,1.0
421,1982-02-26,Non-Fatal,1.0
422,1982-02-26,Non-Fatal,1.0
423,1982-02-26,Non-Fatal,1.0
424,1982-02-27,Non-Fatal,1.0
425,1982-02-27,Incident,1.0
426,1982-02-27,Fatal(1),1.0
427,1982-02-27,Non-Fatal,1.0
428,1982-02-27,Non-Fatal,1.0
429,1982-02-27,Non-Fatal,1.0
430,1982-02-27,Non-Fatal,1.0
431,1982-02-27,Non-Fatal,2.0
432,1982-02-27,Non-Fatal,1.0
433,1982-02-27,Non-Fatal,0.0
434,1982-02-27,Non-Fatal,1.0
435,1982-02-28,Fatal(6),1.0
436,1982-02-28,Non-Fatal,0.0
437,1982-02-28,Fatal(4),1.0
438,1982-02-28,Non-Fatal,1.0
439,1982-02-28,Non-Fatal,1.0
440,1982-02-28,Non-Fatal,0.0
441,1982-02-28,Non-Fatal,1.0
442,1982-02-28,Non-Fatal,1.0
443,1982-02-28,Non-Fatal,1.0
444,1982-02-28,Non-Fatal,1.0
445,1982-02-28,Non-Fatal,1.0
446,1982-03-01,Fatal(1),1.0
447,1982-03-01,Non-Fatal,1.0
448,1982-03-01,Non-Fatal,1.0
449,1982-03-01,Non-Fatal,1.0
450,1982-03-01,Non-Fatal,1.0
451,1982-03-01,Non-Fatal,1.0
452,1982-03-01,Non-Fatal,1.0
453,1982-03-01,Non-Fatal,1.0
454,1982-03-02,Fatal(2),1.0
455,1982-03-02,Fatal(1),1.0
456,1982-03-02,Non-Fatal,1.0
457,1982-03-02,Non-Fatal,1.0
458,1982-03-02,Non-Fatal,1.0
459,1982-03-02,Non-Fatal,1.0
460,1982-03-02,Non-Fatal,1.0
461,1982-03-02,Non-Fatal,1.0
462,1982-03-02,Non-Fatal,1.0
463,1982-03-02,Fatal(2),1.0
464,1982-03-02,Fatal(1),1.0
465,1982-03-02,Non-Fatal,2.0
466,1982-03-03,Non-Fatal,1.0
467,1982-03-03,Non-Fatal,1.0
468,1982-03-03,Non-Fatal,1.0
469,1982-03-03,Non-Fatal,1.0
470,1982-03-04,Non-Fatal,1.0
471,1982-03-04,Fatal(1),1.0
472,1982-03-04,Fatal(3),1.0
473,1982-03-04,Non-Fatal,1.0
474,1982-03-04,Non-Fatal,2.0
475,1982-03-04,Fatal(1),1.0
476,1982-03-04,Non-Fatal,2.0
477,1982-03-04,Non-Fatal,2.0
478,1982-03-05,Non-Fatal,1.0
479,1982-03-05,Non-Fatal,1.0
480,1982-03-05,Non-Fatal,2.0
481,1982-03-05,Non-Fatal,2.0
482,1982-03-05,Non-Fatal,1.0
483,1982-03-05,Non-Fatal,0.0
484,1982-03-05,Non-Fatal,1.0
485,1982-03-06,Non-Fatal,2.0
486,1982-03-06,Non-Fatal,0.0
487,1982-03-06,Non-Fatal,1.0
488,1982-03-06,Non-Fatal,1.0
489,1982-03-06,Non-Fatal,1.0
490,1982-03-06,Non-Fatal,1.0
491,1982-03-06,Non-Fatal,1.0
492,1982-03-06,Non-Fatal,1.0
493,1982-03-06,Non-Fatal,2.0
494,1982-03-06,Fatal(1),1.0
495,1982-03-06,Non-Fatal,1.0
496,1982-03-07,Non-Fatal,1.0
497,1982-03-07,Non-Fatal,1.0
498,1982-03-07,Non-Fatal,1.0
499,1982-03-07,Non-Fatal,1.0
500,1982-03-07,Non-Fatal,1.0
501,1982-03-07,Non-Fatal,1.0
502,1982-03-07,Non-Fatal,1.0
503,1982-03-07,Non-Fatal,1.0
504,1982-03-08,Non-Fatal,1.0
505,1982-03-08,Non-Fatal,1.0
506,1982-03-08,Incident,4.0
507,1982-03-08,Incident,1.0
508,1982-03-08,Non-Fatal,1.0
509,1982-03-08,Fatal(1),1.0
510,1982-03-08,Non-Fatal,0.0
511,1982-03-08,Non-Fatal,1.0
512,1982-03-08,Non-Fatal,1.0
513,1982-03-08,Non-Fatal,2.0
514,1982-03-08,Non-Fatal,2.0
515,1982-03-09,Incident,2.0
516,1982-03-09,Non-Fatal,1.0
517,1982-03-09,Non-Fatal,1.0
518,1982-03-09,Non-Fatal,1.0
519,1982-03-09,Non-Fatal,1.0
520,1982-03-09,Non-Fatal,1.0
521,1982-03-09,Fatal(1),1.0
522,1982-03-10,Incident,2.0
523,1982-03-10,Fatal(2),1.0
524,1982-03-10,Non-Fatal,1.0
525,1982-03-10,Non-Fatal,1.0
526,1982-03-10,Non-Fatal,1.0
527,1982-03-10,Non-Fatal,1.0
528,1982-03-10,Non-Fatal,1.0
529,1982-03-10,Non-Fatal,1.0
530,1982-03-10,Non-Fatal,1.0
531,1982-03-10,Non-Fatal,1.0
532,1982-03-11,Incident,2.0
533,1982-03-11,Fatal(1),2.0
534,1982-03-11,Non-Fatal,1.0
535,1982-03-11,Non-Fatal,2.0
536,1982-03-11,Non-Fatal,2.0
537,1982-03-11,Non-Fatal,1.0
538,1982-03-11,Non-Fatal,1.0
539,1982-03-11,Non-Fatal,2.0
540,1982-03-12,Fatal(1),1.0
541,1982-03-12,Non-Fatal,2.0
542,1982-03-12,Non-Fatal,1.0
543,1982-03-12,Non-Fatal,2.0
544,1982-03-12,Non-Fatal,1.0
545,1982-03-12,Non-Fatal,2.0
546,1982-03-12,Non-Fatal,1.0
547,1982-03-12,Non-Fatal,2.0
548,1982-03-12,Non-Fatal,1.0
549,1982-03-12,Non-Fatal,1.0
550,1982-03-12,Non-Fatal,1.0
551,1982-03-12,Non-Fatal,1.0
552,1982-03-12,Non-Fatal,1.0
553,1982-03-13,Non-Fatal,1.0
554,1982-03-13,Non-Fatal,1.0
555,1982-03-13,Fatal(2),1.0
556,1982-03-13,Non-Fatal,1.0
557,1982-03-13,Fatal(6),1.0
558,1982-03-13,Fatal(6),4.0
559,1982-03-13,Non-Fatal,1.0
560,1982-03-13,Non-Fatal,1.0
561,1982-03-13,Non-Fatal,1.0
562,1982-03-13,Non-Fatal,1.0
563,1982-03-13,Non-Fatal,1.0
564,1982-03-13,Non-Fatal,1.0
565,1982-03-13,Non-Fatal,1.0
566,1982-03-13,Non-Fatal,1.0
567,1982-03-13,Non-Fatal,1.0
568,1982-03-13,Non-Fatal,2.0
569,1982-03-13,Non-Fatal,2.0
570,1982-03-13,Non-Fatal,1.0
571,1982-03-13,Non-Fatal,1.0
572,1982-03-14,Fatal(2),1.0
573,1982-03-14,Non-Fatal,1.0
574,1982-03-14,Fatal(1),2.0
575,1982-03-14,Fatal(1),1.0
576,1982-03-14,Non-Fatal,1.0
577,1982-03-14,Non-Fatal,1.0
578,1982-03-14,Non-Fatal,1.0
579,1982-03-14,Non-Fatal,1.0
580,1982-03-14,Non-Fatal,1.0
581,1982-03-14,Non-Fatal,1.0
582,1982-03-14,Non-Fatal,1.0
583,1982-03-15,Non-Fatal,1.0
584,1982-03-15,Non-Fatal,1.0
585,1982-03-15,Non-Fatal,2.0
586,1982-03-15,Non-Fatal,1.0
587,1982-03-15,Non-Fatal,1.0
588,1982-03-16,Fatal(1),2.0
589,1982-03-16,Fatal(3),2.0
590,1982-03-16,Incident,2.0
591,1982-03-16,Non-Fatal,2.0
592,1982-03-16,Non-Fatal,1.0
593,1982-03-16,Fatal(1),1.0
594,1982-03-16,Non-Fatal,1.0
595,1982-03-16,Non-Fatal,1.0
596,1982-03-17,Non-Fatal,1.0
597,1982-03-17,Fatal(1),1.0
598,1982-03-17,Fatal(1),1.0
599,1982-03-17,Fatal(1),1.0
600,1982-03-17,Fatal(1),1.0
601,1982-03-17,Non-Fatal,1.0
602,1982-03-17,Non-Fatal,1.0
603,1982-03-17,Non-Fatal,1.0
604,1982-03-17,Non-Fatal,1.0
605,1982-03-17,Non-Fatal,1.0
606,1982-03-18,Incident,1.0
607,1982-03-18,Fatal(5),2.0
608,1982-03-18,Fatal(2),1.0
609,1982-03-18,Fatal(1),2.0
610,1982-03-18,Fatal(2),1.0
611,1982-03-18,Non-Fatal,1.0
612,1982-03-18,Non-Fatal,1.0
613,1982-03-18,Non-Fatal,1.0
614,1982-03-18,Non-Fatal,1.0
615,1982-03-18,Non-Fatal,1.0
616,1982-03-18,Non-Fatal,1.0
617,1982-03-19,Fatal(3),1.0
618,1982-03-19,Non-Fatal,1.0
619,1982-03-19,Non-Fatal,2.0
620,1982-03-20,Fatal(1),1.0
621,1982-03-20,Non-Fatal,1.0
622,1982-03-20,Non-Fatal,1.0
623,1982-03-20,Incident,2.0
624,1982-03-20,Incident,1.0
625,1982-03-20,Fatal(1),1.0
626,1982-03-20,Fatal(1),1.0
627,1982-03-20,Non-Fatal,1.0
628,1982-03-20,Non-Fatal,1.0
629,1982-03-20,Non-Fatal,1.0
630,1982-03-20,Non-Fatal,1.0
631,1982-03-20,Non-Fatal,1.0
632,1982-03-20,Non-Fatal,1.0
633,1982-03-20,Non-Fatal,0.0
634,1982-03-20,Non-Fatal,1.0
635,1982-03-20,Non-Fatal,1.0
636,1982-03-20,Non-Fatal,1.0
637,1982-03-20,Non-Fatal,1.0
638,1982-03-21,Fatal(2),1.0
639,1982-03-21,Fatal(5),1.0
640,1982-03-21,Non-Fatal,1.0
641,1982-03-21,Non-Fatal,1.0
642,1982-03-21,Non-Fatal,1.0
643,1982-03-21,Non-Fatal,1.0
644,1982-03-21,Non-Fatal,1.0
645,1982-03-21,Non-Fatal,0.0
646,1982-03-21,Non-Fatal,1.0
647,1982-03-22,Fatal(1),1.0
648,1982-03-22,Non-Fatal,1.0
649,1982-03-22,Non-Fatal,1.0
650,1982-03-22,Non-Fatal,1.0
651,1982-03-22,Non-Fatal,1.0
652,1982-03-22,Non-Fatal,2.0
653,1982-03-22,Non-Fatal,1.0
654,1982-03-22,Non-Fatal,1.0
655,1982-03-23,Non-Fatal,2.0
656,1982-03-23,Non-Fatal,1.0
657,1982-03-23,Non-Fatal,1.0
658,1982-03-23,Non-Fatal,1.0
659,1982-03-23,Non-Fatal,1.0
660,1982-03-23,Non-Fatal,1.0
661,1982-03-23,Non-Fatal,2.0
662,1982-03-23,Non-Fatal,1.0
663,1982-03-23,Non-Fatal,2.0
664,1982-03-23,Non-Fatal,1.0
665,1982-03-24,Fatal(1),1.0
666,1982-03-24,Incident,2.0
667,1982-03-24,Non-Fatal,1.0
668,1982-03-24,Non-Fatal,2.0
669,1982-03-24,Non-Fatal,4.0
670,1982-03-24,Non-Fatal,1.0
671,1982-03-24,Non-Fatal,1.0
672,1982-03-24,Non-Fatal,1.0
673,1982-03-24,Non-Fatal,1.0
674,1982-03-25,Non-Fatal,1.0
675,1982-03-25,Non-Fatal,1.0
676,1982-03-25,Incident,2.0
677,1982-03-25,Incident,2.0
